# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_3
#Generated on Wed Feb 17 08:03:03 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.4600 77.9400 611209.45 430.8659 1245.81 -47.5220
57.4600 77.9600 611673.46 431.0068 1245.37 -47.5199
57.4600 77.9800 612095.67 431.1478 1249.73 -47.5028
57.4600 78.0000 612560.32 431.2889 1249.29 -47.5006
57.4600 78.0200 613025.27 431.4300 1248.87 -47.4984
57.4600 78.0400 613490.54 431.5712 1248.44 -47.4962
57.4600 78.0600 613956.12 431.7124 1248.03 -47.4940
57.4600 78.0800 614422.01 431.8537 1247.62 -47.4917
57.4600 78.1000 614846.01 431.9951 1252.03 -47.4746
57.4600 78.1200 615312.53 432.1366 1251.64 -47.4722
57.4600 78.1400 615779.37 432.2781 1251.25 -47.4699
57.4600 78.1600 616246.52 432.4197 1250.86 -47.4676
57.4600 78.1800 616713.99 432.5614 1250.48 -47.4652
57.4600 78.2000 617181.78 432.7031 1250.11 -47.4628
57.4600 78.2200 617607.55 432.8449 1254.58 -47.4456
57.4600 78.2400 618075.97 432.9868 1254.22 -47.4431
57.4600 78.2600 618544.71 433.1288 1253.87 -47.4407
57.4600 78.2800 619013.76 433.2708 1253.52 -47.4382
57.4600 78.3000 619483.13 433.4129 1253.18 -47.4357
