# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 11967.31 2339.57 14.0000 1451.54 8.8707
 12666.17 2447.51 14.5000 1379.43 8.6803
 13331.63 2547.98 15.0000 1314.74 8.4796
 13967.05 2641.57 15.5000 1256.35 8.2685
 14575.28 2728.82 16.0000 1203.35 8.0473
 15158.80 2810.17 16.5000 1155.01 7.8161
 15719.72 2886.01 17.0000 1110.72 7.5748
 16259.90 2956.69 17.5000 1069.97 7.3236
 16780.98 3022.50 18.0000 1032.35 7.0626
 17284.38 3083.70 18.5000 997.48 6.7918
 17771.38 3140.53 19.0000 965.05 6.5112
 18243.09 3193.20 19.5000 934.82 6.2209
 18700.54 3241.89 20.0000 906.55 5.9210
 19144.63 3286.77 20.5000 880.05 5.6115
 19576.18 3327.99 21.0000 855.17 5.2924
 19995.94 3365.69 21.5000 831.74 4.9638
 20404.58 3400.00 22.0000 809.65 4.6257
 20802.72 3431.03 22.5000 788.77 4.2782
 21190.92 3458.87 23.0000 769.02 3.9213
 21569.69 3483.65 23.5000 750.29 3.5550
 21939.50 3505.43 24.0000 732.51 3.1794
 22300.80 3524.30 24.5000 715.61 2.7944
-1.00 -1.00 -1.0000 -1.00 -1.0000
22.8000
 6148.71 1376.20 10.0000 1278.96 10.4760
 6792.71 1494.10 10.5000 1340.19 10.2703
 7466.91 1615.08 11.0000 1400.11 10.0741
 8170.65 1738.93 11.5000 1458.62 9.8864
 8903.23 1865.44 12.0000 1515.63 9.7064
 9663.89 1994.40 12.5000 1571.09 9.5334
 10451.86 2125.58 13.0000 1624.89 9.3667
 11230.36 2252.88 13.5000 1533.47 9.1976
 11966.81 2371.01 14.0000 1452.65 9.0179
 12665.96 2480.84 14.5000 1380.64 8.8278
 13331.78 2583.12 15.0000 1316.04 8.6273
 13967.61 2678.45 15.5000 1257.73 8.4166
 14576.32 2767.37 16.0000 1204.80 8.1958
 15160.35 2850.34 16.5000 1156.53 7.9649
 15721.84 2927.75 17.0000 1112.30 7.7241
 16262.63 2999.94 17.5000 1071.60 7.4734
 16784.34 3067.22 18.0000 1034.02 7.2128
 17288.41 3129.85 18.5000 999.17 6.9426
 17776.10 3188.07 19.0000 966.77 6.6626
 18248.53 3242.09 19.5000 936.56 6.3729
 18706.72 3292.09 20.0000 908.31 6.0737
 19151.56 3338.25 20.5000 881.83 5.7649
 19583.89 3380.71 21.0000 856.97 5.4466
 20004.44 3419.63 21.5000 833.55 5.1188
 20413.89 3455.12 22.0000 811.47 4.7816
 20812.85 3487.31 22.5000 790.61 4.4349
 21201.88 3516.29 23.0000 770.86 4.0789
 21581.50 3542.17 23.5000 752.14 3.7136
 21952.18 3565.04 24.0000 734.37 3.3390
 22314.35 3584.97 24.5000 717.47 2.9552
-1.00 -1.00 -1.0000 -1.00 -1.0000
23.0000
 6148.53 1391.64 10.0000 1279.29 10.6149
